	address	RestaurantID	Checkins	Recommended	Name	range	Rating	Reviews
204	926 E Guadalupe Rd	oWxiT2PasutHFyZp8Yh2mA	288.0	Worth Visiting	Salazar Bros Mexican Food	4.0	4.3	82
205	815 E Baseline Rd, Ste 109	kuRBSlWaAJkzxlDRW4FjZA	36.0	At your own risk	Subway	3.0	3.1	14
206	2010 E Elliot Rd	p8H_WsH1SltPmo0-c67gFQ	236.0	At your own risk	Smashburger	3.0	3.2	66
207	1245 W Elliot Rd, Ste 101	DS0E9qEyVTyV_BGWoPgjGQ	99.0	Its your say finally!	Kyoto Bowl	2.0	2.4	30
208	3231 S Mill Ave	2zB-y-kobzrMXs0XMjavgw	35.0	Its your say finally!	Olive Branch Restaurant	2.0	2.2	16
209	225 E Apache Blvd	6lCFq6RQxctSW37yNYZ5wg	196.0	At your own risk	Tapacubo	3.0	3.1	100
210	1158 W Washington St	ZuNVijvXJmWCQG7xoV6nFA	144.0	At your own risk	Cafe Roma	4.0	3.8	36
211	2210 N Scottsdale Rd	FsCujpVh9Za2Dl5MIYLCxA	1307.0	Jewel of a place!	Zu Izakaya Asian Kitchen	5.0	4.6	463
212	400 W University Dr	_MzJncLDDFC7-0QLt1KQcg	165.0	At your own risk	Chili's	3.0	3.0	52
213	1301 E University Dr	OoYwJANV9zD-_OA4Atu-gg	1738.0	Jewel of a place!	Republic Ramen + Noodles	3.0	3.3	571
214	1805 E Elliot Rd, Ste 105	gONNfEoNaRLNtgaAcxwsLQ	1273.0	Worth Visiting	Flanny's Bar & Grill	4.0	3.7	180
215	2000 E Rio Salado Pkwy, Ste 1226	CQokoa1vN8j6OP7dyizJDw	936.0	At your own risk	Chipotle Mexican Grill	3.0	3.4	84
216	9920 S Rural Rd, Ste 105	YJS7cXGLAvWw9DUDXpw84Q	443.0	Worth Visiting	Babbo Italian Eatery	4.0	3.5	141
217	1250 E Apache Blvd, Ste 101	QT4Ub4DlaDX52vdnKutD0A	47.0	At your own risk	Copper Kettle	4.0	3.6	44
218	505 S Mill Ave	OiaoUB_UjY-VZ_xd5WKDmg	208.0	At your own risk	Crave Cafe & Lounge	3.0	3.2	48
219	1320 E Broadway Rd, Ste 102	WnrK19zBdW3ATWRc9RjYMA	47.0	Worth Visiting	Vertigo Hookah Lounge & Cafe	5.0	4.7	32
220	1807 E Baseline Rd	pdr6U7qSa9jIivVy_glF-w	116.0	Its your say finally!	China Town Buffet	2.0	2.2	86
221	699 S Mill Ave, Ste 117	3KFWuiz8lla9SospgQn6Yg	992.0	Must Visit!	Slickables	4.0	4.3	282
222	8750 S McClintock Dr	HKoPaMZc1iG8XYzYRhwBKw	20.0	At your own risk	Rosati's Pizza	3.0	3.1	11
223	521 S College Ave, Ste 107	Qk49X8OrbzbG5Qa7VXhV2w	20.0	Its your say finally!	Jimmy John's	2.0	2.1	17
224	7425 S Harl Ave	4hf_GXJjDK1cZJvWpVUVOg	6.0	At your own risk	Apple Spice Junction	3.0	3.0	8
225	2020 E Elliot Rd, Ste 102	2CNaSduqZIsCRuNvdO_TAQ	71.0	At your own risk	Chipotle Mexican Grill	3.0	3.0	32
226	208 W Southern Ave	dSEcQPPUlATxZf5pvN_t5Q	195.0	At your own risk	Red Devil Italian Restaurant & Pizzeria	3.0	3.4	91
227	1475 W Elliot Rd	ZvtELJTUOh0yRrPxyyiakQ	1471.0	Must Visit!	Oregano's Pizza Bistro	4.0	4.0	284
228	1301 E University Dr, Ste 112	xAVj_vQj9eTHorWMxY4CPQ	92.0	Worth Visiting	Kolby's Corner Pocket Billards	4.0	4.4	24
229	960 N Scottsdale Rd, Ste 101	CmgNyXaBPsn6hLLtWPL_qg	257.0	Worth Visiting	Berry Divine Acai Bowls	4.0	4.3	131
230	5000 S Arizona Mills Cir	CU4LgHxH0EwXnPUmQsWFSQ	9.0	Its your say finally!	Church's Chicken	2.0	2.0	7
231	8707 S Priest Dr, Ste 108	F6981E_sIQLhPzImbBagAQ	374.0	At your own risk	Tropical Smoothie Cafe	3.0	2.8	111
232	1825 E Guadalupe Rd	9lJvU8ymisVHNa-pnowCWA	2.0	At your own risk	Papa Razzini	4.0	3.9	15
233	1726 E Southern Ave, Ste 3	qOd7QUh-sIB7zN7RbP1-qw	595.0	Worth Visiting	Genuine Fresche	3.0	3.5	150
234	5000 S Arizona Mills Cir	lm9gDpvhJcZ-m2Y0feYtkA	63.0	At your own risk	Mo' Burger	3.0	2.7	63
235	5000 S Arizona Mills Cir	cpuLjGxFQqJceW4zzJdvaw	19.0	Its your say finally!	Sukotto Japanese Grill	1.0	1.4	20
236	9920 S Rural Rd, Ste 111	BPAm6_JH34HB9FG5Jx1Nig	125.0	Worth Visiting	Poké Wave	5.0	4.7	50
237	920 E University Dr	tgDUi6vtF1cI3DQe5sqQBw	15.0	Its your say finally!	Devil's Pizza Factory	2.0	2.2	22
238	219 E Baseline Rd	8VwDchHdgV7xJFGAjay2jw	19.0	Its your say finally!	Carmen's Bistro	2.0	2.0	21
239	325 W Elliot Rd, Ste 104	Yv9IJnHVvToCTetM0vSwcA	1.0	At your own risk	Paytons Place	3.0	3.2	5
240	1158 W Washington St	qnql60YyttH_nMfufiHHtw	251.0	At your own risk	Sami's Gyros	3.0	3.0	68
241	818 W Broadway Rd	OD09pm-MzynigAvD5KoGPA	588.0	Jewel of a place!	Maskadores Taco Shop	4.0	4.5	379
242	825 W Baseline Rd, Ste 101	QBLl3bVLWZB4-jS-O_MKug	62.0	At your own risk	Barro's Pizza	4.0	3.8	29
243	1604 E Southern Ave	iPyhXWQ2LVSgBlQA4vqKJw	373.0	At your own risk	Joe's Crab Shack	3.0	2.9	116
244	Tempe Marketplace	70GtD32xaw1_Rd_sVaOEnQ	37.0	At your own risk	Ruby Tuesday	3.0	3.1	18
245	1731 E Broadway	5-cghsJrQjAz9nN4DNClEw	6.0	Its your say finally!	Oasis Cafe	2.0	2.4	5
246	2000 E Rio Salado Pkwy, Ste 1064	AJ8DDFm6QaihAPZI3wFBHw	257.0	Worth Visiting	Tea Infusion	4.0	3.7	99
247	1717 S Rural Rd, Ste 102	x9p1WdRz7FSRy0Q38PiGlA	395.0	Worth Visiting	Potbelly Sandwich Shop	4.0	4.0	77
248	1038 S Mill Ave	sahppzQJ0HtvMC7L8ILTVg	793.0	At your own risk	Chipotle Mexican Grill	3.0	3.2	64
249	1815 E Elliot Rd	DLv9d4CVzk8gPKSAEKpTSw	147.0	At your own risk	Windy City Cafe	3.0	3.2	46
250	202 E University Dr	U6P56MjLrraN0JBNvOjxaA	1695.0	Jewel of a place!	The Chuck Box	4.0	4.2	596
251	1857 N Scottsdale Rd	3_n3JdLWkyPCDtPSU-UyUQ	9.0	At your own risk	Cafe Villaggio	3.0	3.4	5
252	933 E University Dr, Ste 112	WGfalBzV-u0gXKb6149ZCQ	81.0	Worth Visiting	Blue Nile Cafe	4.0	4.0	102
253	825 W Baseline Rd	_V4I3DfzYbIHL77XDaVM-Q	24.0	At your own risk	Gourmet Wok	3.0	3.2	16
254	501 S Mill Ave, Ste 201	oO6J78pMW4s8OzSUm75SpQ	411.0	At your own risk	Hooters	3.0	2.7	68
255	203 E 7th St	_k3PJI3mSS3eIpV8FZ6Tqg	48.0	At your own risk	Gluttons	4.0	3.6	26
256	933 E University Dr, Ste 115	8CRXSMiyTR9DOMOdrTDRUw	432.0	Must Visit!	Gangnam Sushi & Grill	4.0	4.0	221
257	414 S Mill Ave, Ste 117	-tcJmqzfaeEnpFMAelB7bA	343.0	Worth Visiting	MedFresh Grill	4.0	3.7	161
258	1835 E Southern Ave	NrZLuREHIfKIeVwSH4G43A	17.0	Its your say finally!	Taco Bell	3.0	2.7	6
259	1400 S McClintock Dr	cTgTtdw_O-C7VO3oNzGRvg	164.0	At your own risk	Starters Sports Bar and Grill	4.0	3.6	28
260	420 S Mill Ave, Ste 201	aVkVDJ01OgvNwhlCUz_bng	1420.0	Worth Visiting	Gordon Biersch Brewery Restaurant	3.0	3.1	314
261	1314 S Rural Road	q-9wprAg0B4_5o2ZWeR20g	37.0	Its your say finally!	Wendy's Old Fashioned Hamburgers	3.0	2.8	6
262	2070 E Apache Blvd, Ste 103	Tl0_JsPz8B3I-opvSZXRGg	30.0	Worth Visiting	Metro Espresso & Sandwiches	5.0	4.8	5
263	615 S College Ave, Ste 103	vK1_qKEG7zHvjiTOsN0CRg	1872.0	Jewel of a place!	Snooze An AM Eatery	4.0	4.3	708
264	1021 W University Dr	Rj3wnYT1QAxpJlRT5mMc-g	1629.0	Jewel of a place!	Harlow's Cafe	4.0	3.9	430
265	1801 E Baseline Rd, Ste 102	sZf_KrF9ZLC7z4jiLGgVOw	760.0	Worth Visiting	Steve's Espresso	4.0	4.2	139
266	2350 E Southern Ave	xUvgrDdKhcmaP6Zv0ssb6A	511.0	Worth Visiting	Manuel's Mexican Restaurant - Tempe	4.0	3.6	131
267	1400 S McClintock Dr, Ste 3	XyaOCULIHZjssQoM-FJLpA	58.0	Its your say finally!	Hubbly Bubbly Hookah Bar & Lounge	3.0	2.5	35
268	960 W University Dr, Ste 116	G7Ull-QUaNXyPwtEErHZ8g	161.0	At your own risk	Mr. Hunan	3.0	2.6	86
269	710 E Gilbert Dr	w0p0kLkEp4djkzJBmSkpuA	31.0	Its your say finally!	Crazy Fish & 202 Sushi	3.0	2.6	23
270	Arizona Mills Mall, 5000 Arizona Mills Cir	0Oskle2GkyYMseuJ3TDwRA	23.0	At your own risk	Tilt Studio	3.0	3.2	30
271	6505 S Mcclintock Dr	Tt4SLmht8LORplkdhpcwhw	125.0	Its your say finally!	Panera Bakery & Cafe	3.0	2.6	36
272	1125 E Apache Blvd	pxpLVCInGwLClbnwJwxInw	227.0	Worth Visiting	King Tut Cafe & Catering	4.0	4.1	49
273	2525 S Rural Rd, Ste 8N	oWM1ZEsqgJYMgvLbWUwuaw	34.0	At your own risk	SpaMassage For You	4.0	3.5	52
274	7510 S Priest Dr, Ste 104	RMtnJYAAiXmUFrMngttEoQ	527.0	Worth Visiting	Tzikii Pita Grill	4.0	3.8	115
275	699 S Mill Ave, Ste 201	mZsvMd5RCat1d3KMSD5tsg	183.0	At your own risk	Endgame Bar	3.0	3.4	83
276	777 College Ave, Ste 101, Arizona State University	xQLfpn1qaXt_j3osW86Iwg	144.0	At your own risk	Cupz Coffee	3.0	3.4	45
277	1111 S Rural Rd	7N3q70C_mwEYQ2QcGfjvgA	769.0	Must Visit!	Thai Basil	4.0	4.0	235
278	710 W Elliot Rd, Ste 101	b1s8c1CTlHmLIlNGI9q-mQ	292.0	Worth Visiting	Donna's Bakery Cafe	4.0	4.1	90
279	1701 E Guadalupe Rd	ROMFVEFKEYi7qhyITX6jfA	436.0	Must Visit!	24 Carrots Juice Bar & Cafe	4.0	4.1	210
280	681 E Apache Blvd, Ste 107	NVvjplHvDAoMOEGbYws4Sw	14.0	At your own risk	Doner Dudes	4.0	3.7	25
281	705 W Baseline Rd	MkKMmLQGtuZnjw-5GqLwqQ	73.0	Its your say finally!	KFC	2.0	2.1	25
282	4 E University Dr	CRLvROAjgX-aKI7VIfPLFg	283.0	Worth Visiting	Pita Jungle	4.0	3.7	98
283	19 E Broadway Rd	xRbAlgd3UjNM1UO831a7hg	50.0	At your own risk	Mad G's Grill & Tavern	3.0	3.2	15
284	1415 N Mill Ave	BBiHfu0tFmJki_1h1bqHag	148.0	At your own risk	Rolling Hills Golf Course	4.0	3.7	22
285	1817 E Baseline Rd	44vEjV59_w0cm_Lhyif3bQ	239.0	Worth Visiting	Senor Taco	4.0	3.9	91
286	7520 S Rural Rd, Ste A9	2zo1Gg_ERRjn5LzX9hzR5w	545.0	Must Visit!	Clockwork Pizza	4.0	4.1	224
287	2070 E Apache Blvd	rIv4K_LvVbPwC9tPO_fwYw	8.0	At your own risk	NY Classic Subs	4.0	4.0	4
288	960 W University Dr	VO-p1uczeMbzH8bEAv-RgA	391.0	At your own risk	Rosita's Fine Mexican Food	3.0	2.9	156
289	818 W Broadway Rd	WBxR9IC6E9-4szNzq7_Y3Q	212.0	Worth Visiting	Lemongrass Thai Cafe	4.0	3.7	102
290	1210 N Scottsdale Rd	ZARxy5Orzk9Ocay0IkU_-Q	48.0	Its your say finally!	Carl's Jr	2.0	2.1	11
291	3101 S Mill Ave	yzgiakgxJnZKa7gn6bo7dw	77.0	Its your say finally!	Kyoto Bowl	2.0	2.5	37
292	1295 W Washington St, Ste 102	bSbo_LTI2HR9wXyosRCIvQ	417.0	At your own risk	Ladybug Cafe	4.0	4.2	27
293	1849 N Scottsdale Rd	q7T-qCW0WLemnnLt88OuWQ	11.0	At your own risk	Bombay Palace	4.0	3.9	7
294	1045 Lemon St, Ste B	Cl5PHhHfOzimUTCWjC5yNA	142.0	At your own risk	Hungry Howie's Pizza	2.0	2.4	124
295	2090 E University Dr	ufA5ebLmVAqCuhMrApaONg	279.0	Worth Visiting	Munch A Mania	5.0	4.6	101
296	2755 W Southern Ave	hE_U-gUwu-3-7CVKXU9vAQ	56.0	At your own risk	Wendy's	4.0	3.5	8
297	930 University Dr	euhSHOJzcYrff3B6F-okkw	168.0	At your own risk	Copper Blues	4.0	3.6	30
298	21 E 6th St, Ste 114	IZq8vOqGy__PMUnYJbiHuw	67.0	At your own risk	The Center Bistro	4.0	3.7	23
299	1402 S Priest Dr	k57YAz2gkeXgAYij7JIxjw	158.0	At your own risk	Philly's Sports Bar & Grill	3.0	3.4	62
300	950 E Baseline Rd, Ste 101	ygZSfAsnlztdeWZOlJA2Ug	164.0	Worth Visiting	Barro's Pizza	4.0	3.9	72
301	1804 E Elliot Rd	4FFhq0e4bxAG4uXqgT14jQ	102.0	At your own risk	Boston Market	4.0	3.6	20
302	21 E 6th St	9kjk05G50XWnmJQBz_wcnw	505.0	Worth Visiting	Umami	4.0	3.9	205
303	5000 S Arizona Mills Cir	_58OWmDQ7IUFe8WnKvwzhw	23.0	Its your say finally!	Tinta Mexicana	3.0	2.6	24
304	1205 S Rural Rd	m-KkjBgtiRhtXA10_jwh2Q	78.0	Its your say finally!	McDonald's	2.0	1.7	29
305	502 S College Ave	Ps4tmjscZNPHKF2rCS8tnA	200.0	At your own risk	Mad Hatter Brew Pub	3.0	2.8	57
306	740 S Mill Ave, Ste 140	6W20fKnjqPTSU2irnSVmSQ	772.0	Worth Visiting	P.F. Chang's	3.0	3.2	175
307	2032 E Golf Ave	8WA2kwCm7AEcDPTJaJjVuQ	209.0	At your own risk	Shalimar Country Club	3.0	3.2	44
308	5000 S Arizona Mills Cir	c3zYwxR1TcpeO2fugLTxEA	35.0	Its your say finally!	Raspados Paradise Mexican Restaurant	3.0	2.8	28
309	630 W Elliot Rd	X33BIVfxrbNa5l_53w2FpQ	245.0	Its your say finally!	Sonic Drive-In	2.0	2.2	46
310	960 W University Dr, Ste 105	EHgGscaiJBghjZVT9hsBFw	40.0	At your own risk	Mister G's Pizzeria	4.0	3.7	19
311	1405 W Baseline Rd	gpivFNirREOyEAwxVebR5g	111.0	Its your say finally!	Wendy's	2.0	2.5	23
312	1010 W Elliot Rd	fckUjXz1GKpafT4x7-MVJA	614.0	At your own risk	Olive Garden Italian Restaurant	3.0	3.3	118
313	939 E Guadalupe Rd, Ste 1	0ebavvJVXAzKKQ8C9cOt6g	70.0	At your own risk	Chopstick Express	3.0	2.9	141
314	1501 W Fountainhead Pkwy	iJthKdobWpJ1Re7kUdUEDA	2.0	At your own risk	Dagwood's	4.0	3.5	4
315	7420 S Rural Rd, Ste B-1	d4pXR8yVuJIm6Q3HuRYBfw	20.0	At your own risk	Subway	4.0	3.5	4
316	1101 W University Dr, Ste 101	3teomZyQ8z0SuXeJF734xg	2.0	Worth Visiting	Sidewalk Cafe	5.0	4.6	8
317	1712 E Guadalupe Rd, Ste 102	ia1Q47ANt6OZDMpQPzkqJQ	15.0	Its your say finally!	Pizza Hut	2.0	2.2	8
318	1932 E University Dr	gp9ZESRRNLqWfgJtEzPThA	875.0	At your own risk	Original Geno's Pizza & Cheesesteak	3.0	3.1	156
319	780 W Elliot Rd, Ste 101	9pvJiPUzB5JTqhNTloKjvA	258.0	Its your say finally!	America's Taco Shop	2.0	2.5	73
320	560 S College Ave	h301hAHfIGqVYIlBzs5EgA	151.0	Worth Visiting	Nush	4.0	4.5	61
321	6430 S McClintock Dr	ELUUibdDcrZHyvE-e-QsVw	652.0	Worth Visiting	Mac's Broiler & Tap	4.0	3.6	179
322	1537 E Apache Blvd	UY13CTgUqriT-fMxT2APLw	1322.0	Jewel of a place!	Khai Hoàn Restaurant	4.0	4.2	358
323	93 E Southern Ave	Nm-45TlwfszqbJtaIalbtw	5.0	Its your say finally!	The Sets	3.0	2.7	10
324	1817 E Baseline Rd	zZJlMZ4yXuZ8K9XC4x7SVQ	79.0	Its your say finally!	Jack-In-the Box Drive Thru	2.0	2.4	17
325	815 W University Dr, Ste 111	Z0ukPkDOC7GqgS8xAMuI6Q	9.0	At your own risk	5 R Cha Thai Go	4.0	3.6	25
326	203 E 7th St	3jy3CXO6gVEat4uB-E2msA	283.0	Worth Visiting	Orange Table Tempe	4.0	3.7	103
327	1805 E Southern Ave	mVDXeHkpWK-GNqdi7fN4MQ	33.0	Its your say finally!	Long John Silver's	3.0	2.8	4
328	2019 W Baseline Rd	RyJIi1IP0UQ5qGbwazgsIA	693.0	Worth Visiting	Aunt Chilada's Tempe	3.0	2.8	318
329	2000 E Rio Salado Pkwy, Ste 1146	BLISNIoF179UUfCBTxNUOA	205.0	At your own risk	Yogis Grill	3.0	2.9	53
330	555 N Scottsdale Rd, Ste 101	R_wW7aDtoRjGw8lgM2dB3w	11.0	At your own risk	WaBa Grill	3.0	3.3	14
331	960 W University Dr	wl0QZqAzr1DelslQ02JGCQ	5019.0	Jewel of a place!	Cornish Pasty	4.0	4.3	1504
332	1849 N Scottsdale Rd	VCYhWAkuxl2Irj_vgnraYw	112.0	At your own risk	Taj Mahal Indian Cuisine	4.0	3.7	64
333	2755 W Southern Ave	3eMNpEW9idRWUx88ZZbVXw	15.0	Its your say finally!	Arby's Roast Beef	3.0	2.7	3
334	1805 E Elliot Rd, Ste 115	kj1p6NwUGROOoqNySf0I1Q	1830.0	Jewel of a place!	Yupha's Thai Kitchen	4.0	4.1	552
335	5000 S Arizona Mills Cir	krAgdtJ-2CcNGpuwKCbt9A	322.0	At your own risk	Garcia's Mexican Restaurant	3.0	3.2	81
336	3223 S Mill Ave	6Z3lZEEIKv6opbyavmnGbA	746.0	Worth Visiting	Monkey Pants Bar & Grill	3.0	3.4	168
337	940 E University Dr, Ste 102	_v1LoEQz_JR1pilS2p3s5A	17.0	At your own risk	Venue 104 - A Performance Cafe	4.0	3.8	4
338	227 E Baseline Rd, Ste J007	gMN6VKmu4E1EmlMYzz9A3w	285.0	Worth Visiting	OPA Life Greek Cafe	4.0	4.1	147
339	1845 E Broadway Rd, Ste 101	h1MxTLZ1b2FkU6ituL1yHA	119.0	Worth Visiting	Royal Taj	4.0	3.7	99
340	414 W University Dr	5idlmsT1O86_ywGJtqot5w	117.0	At your own risk	Baja Fresh Mexican Grill	4.0	3.6	14
341	1825 E Guadalupe Rd, Ste F-112	vU8-ATy2-MASm-bQXdhRaw	714.0	At your own risk	Pei Wei	3.0	2.9	139
342	1845 E. Guadalupe Rd	b65Ugu0VDKDNbLq7sW9RDQ	374.0	At your own risk	Filiberto's Mexican Food	3.0	3.5	73
343	3415 S McClintock Dr, Unit 107	SFwOkS8pe25qpaSRZ_gGsA	202.0	At your own risk	Silver Mine Subs	3.0	2.7	48
344	15 E 6th St	5k34OJo3BsEaoyMsW86eZg	430.0	At your own risk	Chronic Cantina	3.0	3.4	69
345	2010 E Elliot Rd, Ste 103	napimcgem1KAu8d5tILkww	38.0	Its your say finally!	Jimmy John's	3.0	2.7	18
346	6434 S McClintock Dr	Hjfp1i2kVSyZCH5d-MC42g	11.0	At your own risk	Sacred Pi	4.0	4.0	29
347	5000 Arizona Mills Cir	AOWP-Th_u8C3qLfOlaC0ng	191.0	At your own risk	Johnny Rockets	3.0	3.2	62
348	1158 West Washington St, Ste 107	CcTvk2-unBwmAZmU3PlKww	191.0	At your own risk	Port of Subs	4.0	3.7	30
349	2000 E Rio Salado Pkwy	fCaJNz9ff4x0x46fPA8nXg	340.0	Worth Visiting	It's All Greek To Me	4.0	4.0	138
350	1810 E Apache Blvd	WPUf-Eo6PHxDNqPygahiUA	576.0	At your own risk	Tempe Tavern	3.0	3.4	104
351	Graduate Tempe, 225 E Apache Blvd	diAJlvbE8UrRQ9RN2nZ5Tw	685.0	Worth Visiting	The Normal	3.0	3.5	264
352	699 S Mill Ave, Ste 201	jY40NI_cGJp1OId4O9TWJw	91.0	Its your say finally!	Antar's Sports Bistro	2.0	2.5	20
353	26 E University Dr	v0YATh4rCiPlBpSyNmh3tQ	203.0	Worth Visiting	Umami	4.0	3.8	89
354	825 W Baseline Rd, Ste 1	POzMNUmUWFNDinWrspiBEA	117.0	At your own risk	Poppy's Place	3.0	2.9	44
355	835 W Baseline Rd	57dbqYYLpyvTH5RRKkIWrg	77.0	Its your say finally!	Taco Bell	2.0	1.9	14
356	640 S Mill Ave, Ste 120	1sdwgcMd1BNlzw-wz3TXKQ	532.0	At your own risk	Dierks Bentley's Whiskey Row	3.0	3.2	148
357	1636 N Scottsdale Rd	DKusRJUxgsye1cdrlGgQOg	577.0	Must Visit!	Udupi	4.0	3.9	271
358	1719 E Southern Ave	EI0CoVr2iQd__EdaAkT1YA	1.0	At your own risk	Andrews Restaurant Supply	4.0	4.2	4
359	2000 E Rio Salado Pkwy	ZhjU0FkCIaG43F83TwSN8w	2244.0	Worth Visiting	Dave & Buster's	3.0	3.2	294
360	1125 E Rio Salado Pkwy	Zmm5ksQu39aKkFiBxXNajA	664.0	At your own risk	ASU Karsten Golf Course	4.0	4.0	42
361	7470 South Priest Dr	YYZGRUCevWS41VZFxp4rrA	581.0	At your own risk	Fuddruckers	4.0	3.5	91
362	1860 E Warner Rd, Ste 107	HhOgTTbHY1-r37Yghw1www	72.0	Its your say finally!	Subway	3.0	2.9	10
363	808 W Broadway Rd	bVwFqYiz9acU1W24ZmYofQ	17.0	Its your say finally!	Pizza Hut	2.0	1.8	19
364	501 S Mill Ave, Ste 101	HFyMS_9yLaYN7GIcXzcboA	734.0	At your own risk	Gringo Star Street Bar	3.0	3.2	135
365	650 N Scottsdale Rd	McsAPsIJPXHrZ1jY2FzmNw	193.0	Its your say finally!	Denny's	3.0	2.6	24
366	1410 East Southern Ave	ZrFqa9sUaF_X8wbNz29Qbw	1444.0	Worth Visiting	Sweet Tomatoes	4.0	3.8	155
367	850 E Guadalupe Rd	npVGM0e3IxTn_pILRA_JQg	130.0	At your own risk	Jack In The Box	3.0	3.0	16
368	777 S College Ave, Ste 105	luI3vBj9ciPBWT2bQ7dXXg	215.0	At your own risk	Smashburger	4.0	3.7	67
369	825 S 48th St	T_s4IcIJf5ZHyy8zC28UGw	138.0	At your own risk	Denny's	3.0	2.9	28
370	37 W Baseline Rd	ZMp18tQQTjloj0pKSdENBw	211.0	Worth Visiting	Bosa Donuts	4.0	4.2	73
371	20 E University Dr, Ste 191	-zVrFYgs09w8lIUSuAvp2Q	92.0	At your own risk	Firehouse Subs	4.0	3.8	17
372	2155 E University Dr	oz-U184llqjVIt398hLntQ	80.0	At your own risk	Sub Factory	4.0	4.1	11
373	1415 E University Dr, Ste 112	j6HrPOSwCo499xbCfP1R0w	2.0	Worth Visiting	Picnic Company Restaurants	4.0	4.4	7
374	7425 S Harl Ave, Ste 2	UhSMiTT66glIIoiL9UI-fA	17.0	Worth Visiting	Sunshine's Motor City Cafe	5.0	4.6	5
375	1835 E Guadalupe Rd, Ste D111	L9qDnDHSnINNjePwrJz-uQ	235.0	Worth Visiting	Miele's Italian Bistro	4.0	3.9	211
376	1125 W Elliot Rd	POO5_d0RwzjJVhIpN-oulg	640.0	Worth Visiting	Kobe Teppan & Sushi	3.0	3.4	222
377	440 W Warner Rd, Ste 104	DEeGnshpgUOIOjhq_dd5Ug	847.0	Must Visit!	DOZO Izakaya	4.0	4.1	234
378	1250 E Apache Blvd, Ste 116	IUTU_8qM7M8j9A1TbmMjYA	255.0	Worth Visiting	Tasty Kabob	4.0	3.9	166
379	325 W Elliot Rd, Ste 101	B7rX9AReRGFQQ6abuq6d5w	25.0	At your own risk	Az Poki	4.0	4.0	16
380	801 E Apache Blvd	9mIm1ef-NVDQHFE39Faxxg	384.0	At your own risk	Vine Tavern & Eatery	3.0	3.5	116
381	1110 E Baseline Rd	Oa36vjcNukdm7xXcLZ6IPQ	71.0	Its your say finally!	Wendy's	2.0	1.9	23
382	1212 E Apache Blvd, Ste 103	i2PbfQCPE_MQ4tYERaBoyA	3.0	At your own risk	Urban Cafe	4.0	4.0	4
383	1825 E University Dr	VM_e8snkXt6DgU1XnBZc0g	62.0	At your own risk	Niro's Gyros	4.0	4.2	17
384	1080 W Elliot Rd	7AYbCvQ_cgS_pqS6BCmzcw	39.0	At your own risk	Archie's Deli	3.0	3.1	20
385	1750 N Scottsdale Rd	R-Me-p4Rbb0q-2pjSzyDbw	268.0	Worth Visiting	Jim's Coney Island Cafe	4.0	3.8	99
386	7510 S Rural Rd	W4LRU508M_TRjShk8lqVyw	150.0	Its your say finally!	Dairy Queen	3.0	2.6	25
387	1712 E Guadalupe Rd, Ste 109	rb9B9v8TJk-sjpJe3BbkBQ	407.0	At your own risk	Rubio's Coastal Grill	4.0	3.7	75
388	801 S Mill Ave	ydE2SjvSd9_NMoEBAE2PuA	434.0	At your own risk	Chili's Grill & Bar	4.0	3.5	51
389	1403 W 10th Pl, Ste B105	KcbFFh7xfBLl2YeXQRhUNg	52.0	At your own risk	Munch A Lunch	4.0	3.7	35
390	80 E Rio Salado Pkwy, Ste 410	9D7h2xfVJrGkkwXDsnfV_Q	519.0	Worth Visiting	Romancing the Bean	4.0	4.0	105
391	710 E Gilbert Dr	m8Cbph-0tlMaYyXDwvKc3A	668.0	Worth Visiting	Pho Cao	4.0	3.6	127
392	7707 S Kyrene	OMxgLbrSCEU12265nz9JVA	154.0	At your own risk	Goodcents Deli Fresh Subs	4.0	3.9	48
393	825 W University Dr	UBQRhqRMW4Sk7kSZvZ1iAQ	1285.0	Jewel of a place!	Essence Bakery Café	4.0	3.8	439
394	5000 S Arizona Mills Cir	T-0707ku9Ovt-Y8fLA2TrA	51.0	Its your say finally!	America's Taco Shop	3.0	2.7	16
395	1290 S Normal Ave, Memorial Union Building	A_vo-3ZKB2hFmoARMxBoxw	6.0	At your own risk	QDOBA Mexican Eats	3.0	3.0	4
396	920 E University Dr, Ste 104	tLpZp3HKgXD-gG3RNqObYw	4.0	At your own risk	Bo Ali	3.0	3.4	9
397	1301 E University Dr, Ste 136	jga_2HO_j4I7tSYf5cCEnQ	24.0	Worth Visiting	LaGattara Cat Lounge & Boutique	5.0	4.6	36
398	1706 E Warner Rd, Ste 3	4kjoVsi3tb-vVtFZ6WPNvg	31.0	At your own risk	Spitfire Grill & Tavern	4.0	3.5	27
399	414 W University Dr	jiOREht1_iH8BPDBe9kerw	633.0	Worth Visiting	Dilly's Deli	4.0	3.9	163
400	414 S Mill Ave	3IY-JtcZHBOSzFD53SSXLA	184.0	Worth Visiting	US Fries Tempe	4.0	3.9	106
401	740 S Mill Ave, Ste 185	IWOQNyRqWrnqQA5K49eK5g	950.0	Must Visit!	Hot N Juicy Crawfish	4.0	3.5	363
402	1030 E Baseline Rd, Ste 156	dEq4Yj50tWOSzxqXloahsw	171.0	Worth Visiting	Classic Italian Pizza	4.0	3.8	109
403	1425 W Southern Ave	0cFCPxFRWReXer2D_mCp1A	6.0	Worth Visiting	Last Exit Bar & Grill	4.0	4.5	4
