	address	RestaurantID	Checkins	Recommended	Name	range	Rating	Reviews	
205	629 Euclid Ave, Ste 102	VodyCVoc3QUoEsi0rv0opg	38.0	Must Visit!	Mike & Dee's Diner	4.0	4.4	32	
206	2033 E 14th St	Rt7gjrTceO86sCtnS8Td0g	90.0	Must Visit!	Green Rooster Farms	4.0	4.3	45	
207	3710 Payne Ave	XgUlUmrktr2Um2gczYeYpg	3.0	At your own risk	Garden Cafe	3.0	3.2	4	
208	15901 Lake Shore Blvd	FKcj1DmDWsRO4aOQ6i_nWw	3.0	Its your say finally!	McDonalds	1.0	1.0	4	
209	4760 Grayton Rd	qfOSFYfT23CIya1KmD7EGw	192.0	Worth Visiting	Grayton Road Tavern	3.0	3.5	48	
210	17325 Loraine Ave	EXIZwIxLoiPDJs-oKzgaKw	106.0	Its your say finally!	Steak 'n Shake	2.0	2.2	38	
211	1382 W 9th St	gstmQyich5ToZPBNhSthmw	14.0	At your own risk	Zdara Grille + Lounge	3.0	2.8	15	
212	1531 W. 117th Street	8U8B2E4F7u53fkfpqkCIWw	43.0	Its your say finally!	Taco Bell	2.0	2.5	8	
213	3762 Rocky River Dr	xYx7VXbZUgMC2buFKiMBqQ	5.0	Worth Visiting	West Park Nutrition	4.0	3.8	4	
214	7927 Kinsman Rd	fg2nRepS0cS3xNfWYG7stA	2.0	Worth Visiting	New World Restaurant	4.0	3.7	3	
215	3403 Croton Ave	ACfokx9YuO74JJgQnXXljg	4.0	At your own risk	Oasis	3.0	3.3	3	
216	12700 Shaw Ave	OwXMxqxIy4YoprAjnoUoiA	5.0	At your own risk	B & M Bar-B-Que Shaw	4.0	3.5	4	
217	1975 Snow Rd	y_Xi2V_0lGbCkRuiXLHUFA	2.0	Its your say finally!	Hong Kong Buffet	2.0	2.5	4	
218	4007 Saint Clair Ave	GYHaejDRFdUgyRm8X_g8rg	214.0	Worth Visiting	Shay's	4.0	3.9	22	
219	5300 Riverside Dr	9Hcu2bRtzHtj4jhJB7By8g	41.0	Its your say finally!	McAlister's Deli	2.0	2.4	14	
220	6212 Memphis Ave	2VUhmFkIvARpEP9B5dZo9w	10.0	Worth Visiting	Suzie's Family Style Restaurant	4.0	3.5	17	
221	2203 Chester Ave	Vkz7c2EDh7ydELK8Za0obQ	5.0	Worth Visiting	Arby's	4.0	3.8	4	
222	6370 York Rd	KpKYl-rfvYLhUylIuNHg7A	3.0	At your own risk	Subway	3.0	2.8	4	
223	4071 Lee Rd, Ste 160	qwkzD5_OjQ2eYv0EIKxV_g	3.0	At your own risk	Fu Sheng	4.0	3.5	6	
224	3843 Riveredge Rd	BT7FeQ8VkpHrU9qihvGD3w	210.0	Must Visit!	Cafe Falafel	4.0	4.5	63	
225	3820 Superior Ave.	JtRKB_HJgpIHSduMSyyIkw	91.0	Must Visit!	Ninh Kieu Vietnamese Restaurant	4.0	4.5	43	
226	1424 Hamilton Ave	p8p6xfFWbxN070r5qt32Rw	8.0	Must Visit!	Barristers Deli	5.0	4.7	23	
227	2123 E 2nd St	0ZZIqTdEb7yUa13QZLKuGQ	277.0	Must Visit!	21 Lounge & Kitchen	4.0	3.9	71	
228	7403 Denison Ave	ue7tVbfE3cRt14LELax2nw	7.0	Must Visit!	La Fiesta	5.0	5.0	4	
229	530 Euclid Ave	aPnAEP8WzjJkxyAJ59GS8Q	56.0	Must Visit!	Indies	4.0	4.3	61	
230	3604 Superior Ave	UVaoufxuDXcXDvovuIIxyQ	2.0	Must Visit!	Marjees Bar & Grill	5.0	5.0	4	
231	3820 Superior Ave E	cuYl-tgIioYVp619BlmokA	43.0	Must Visit!	Pho Ha Nam	4.0	4.4	27	
232	Quicken Loans Arena Section 125	iWq6qeOnOS6CPmeDP9vyFQ	8.0	At your own risk	B Spot At the Q	3.0	2.7	11	
233	3859 Superior Ave	pW2j5fhlmuTrQ1egkKKLlg	12.0	Worth Visiting	La Bodega Asiatown	4.0	4.1	7	
234	11038 Bellflower Rd	5bonqFfEp6nQ7SgBPzN4Lw	16.0	Its your say finally!	Cool Beanz	2.0	2.2	4	
235	2199 Brookpark Rd	NKMkvLWatV9v7zbMNS6D3g	44.0	Must Visit!	Jackie Chen Asian Diner	4.0	4.3	25	
236	11300 Juniper Rd	VV4NAmS0KJ8A8xOcQnKB6A	152.0	Worth Visiting	The Coffee House	3.0	3.1	42	
237	6075 Mayfield Rd	UO39lBhCFsVRLRPY4Yq9mQ	51.0	Worth Visiting	Bruegger's Bagels	4.0	3.9	12	
238	401 Euclid Ave, Ste 51	mbk0WvEjeVXUEckUq5D1BQ	24.0	Worth Visiting	Greek Express	4.0	4.2	16	
239	2000 E 9th St	Aveg0GSyXhU8tTlH5Ior-A	45.0	Worth Visiting	Parker's Downtown	4.0	4.0	35	
240	11322 Euclid Ave	51kUjAGZLtDl1K3XV_UXxQ	122.0	Worth Visiting	Tropical Smoothie Cafe	3.0	3.3	26	
241	408 W St Clair Ave	VUOn9pztnaEX49Xfb_9L7A	87.0	Must Visit!	Osteria Di Valerio & Al	4.0	3.7	62	
242	1100 Superior Ave	xQo0O_EgcH2_yldW3lOt5Q	6.0	At your own risk	Market Creations Cafe	3.0	3.0	9	
243	1889 W 25th St	1gQrMs-I8oKg2p-iRxznzQ	865.0	Jewel of a place!	Soho Chicken + Whiskey	4.0	4.3	291	
244	3292 Fulton Rd	h39PkiW3Zt0N_syoRsKbGQ	61.0	Worth Visiting	Las Dos Fronteras	4.0	3.7	51	
245	21800 Center Ridge Rd	LmwJ2QDLaxEjbvKZ2TXZgg	2.0	At your own risk	Zog Dogs	3.0	3.2	4	
246	5618 Woodland Ave	cM4a6iIM-VdILKMsPjOx5g	2.0	At your own risk	Shoga	3.0	3.4	8	
247	1865 W 25th St	nWW6fBfBljiRFa4sG7TyxA	274.0	Must Visit!	The Black Pig	4.0	3.9	107	
248	3790 W 117th St	uLUjru9JVkI_qmFHCxYwAQ	19.0	At your own risk	Papa Primoz	3.0	3.2	13	
249	1360 E 9th St	EOBTIIbjfeLuTdXeFGsOTg	23.0	Must Visit!	Anna In The Raw	5.0	4.5	17	
250	224 Euclid Ave	FutUAQPBfCeTmqytfDW1pA	110.0	At your own risk	Chipotle Mexican Grill	2.0	2.4	49	
251	2317 Denison Ave	UXXAzmuz2olKSpte9eF4Vw	47.0	Must Visit!	Moncho's Bar & Grill	4.0	4.0	39	
252	820 Richmond Rd	jyAhu2jqSMBoeJi-KQ5lZw	13.0	At your own risk	Wendy's	3.0	3.2	6	
253	2401 Ontario St	CRSr30-6ZZnT29gV13_eqw	147.0	At your own risk	Terrace Club At Progressive Field	3.0	3.0	7	
254	2275 Professor Ave	26CMx5t6_h5PWT4gcae4zw	52.0	Must Visit!	Beviamo Cafe	5.0	4.6	27	
255	1938 Euclid Ave, Ste 100	5ynzVV_kayd5hfv5Kt6Vbg	183.0	Worth Visiting	Burgers 2 Beer	3.0	3.2	65	
256	4478 Pearl Rd	cdsxkycC_xrXlOdsm5yZUw	4.0	At your own risk	Nunzio's Pizzeria	3.0	2.8	22	
257	11150 East Blvd	H9THotfiu-UjFL44rpLjCw	36.0	Worth Visiting	Provenance Café	4.0	3.9	28	
258	1059 Old River Rd	EsE8KTPqAJ2MjJdmuAifRw	15.0	Worth Visiting	Dante's Inferno Flats	3.0	3.3	21	
259	1260 Euclid Ave	hiNArIsFnQXJHwtCglSJFw	5.0	Its your say finally!	Encore Restaurant and Blue Bar	2.0	2.4	11	
260	2050 E 4th St	cX2Nr_XmGYlMaBW35M0sUg	664.0	Jewel of a place!	Mabel's BBQ	4.0	3.9	542	
261	13609 Lakewood Heights Blvd	TKaND6oV1n2ylnCYoAfoag	498.0	Jewel of a place!	La Plaza Supermarket	5.0	4.6	139	
262	4059 Rocky River Dr	WvunDFSs2hJrPHVFqB6Y1w	245.0	Worth Visiting	Brothers Pizza	3.0	3.5	49	
263	1912 E 6th St	Sja9RHq7FpwDcmfzbGfIxQ	100.0	Worth Visiting	Moriarty's Pub	4.0	3.5	13	
264	2245 Lee Rd	jhCcZgDhPh5oiPgOXYTkrg	115.0	Must Visit!	Best Gyros	4.0	3.8	62	
265	1156 W 11th St	_6Brh4UGrsnakkBKT1H_Qw	238.0	Jewel of a place!	Beerhead Bar & Eatery	4.0	3.6	160	
266	1425 East 21st St	gk5zSldov0A3do1q8kLUDw	20.0	Must Visit!	Lancer's Bar & Lounge	5.0	5.0	4	
267	14909 Saint Clair Ave	ib8kSuDsmqLpbXuIs4KfKw	46.0	Worth Visiting	Kim's Wings	4.0	4.0	26	
268	3782 W 150th St	42rDLL6vNJ5w66Ccj6a5XQ	38.0	Its your say finally!	McDonald's	2.0	1.8	13	
269	1313 W 117th St	tNJgmbODR-N0qdPGy4Vsrw	270.0	Must Visit!	El Jalapeños	4.0	3.7	109	
270	1266 W 6th St	xjQigsaN4wLSaZhqHsMiQA	12.0	At your own risk	West 6th Grill	3.0	2.8	5	
271	828 Huron Rd E	tNw9uqfIzl247SfiZ-JBLw	26.0	Worth Visiting	Alesci's Downtown	4.0	3.8	6	
272	11460 Uptown Ave	6TMNUvxPfU6HnNMVa_Fv4Q	41.0	At your own risk	Accent Restaurant	3.0	3.0	22	
273	11901 Lorain Ave	bbl8fr69OHrzbOFLeJ3kSw	18.0	At your own risk	Kabab-G	4.0	3.5	8	
274	740 W Superior Ave	EsjY-B1wh76hK6G6deH1hw	15.0	Worth Visiting	Prime Rib Steakhouse	3.0	3.4	16	
275	530 Euclid Ave	LnYkQ2Hjm-klqYJVgZ1cEQ	35.0	Worth Visiting	Sakura	4.0	3.9	12	
276	5701 Memphis Ave	ZUvAR3I1uhC27zQFcRXumw	292.0	Must Visit!	Dina's Pizza & Pub	4.0	3.5	91	
277	5417 Detroit Ave	QMpy9X4gqqqRY2QwG2kxVA	102.0	Must Visit!	Astoria Cafe and Market	5.0	4.6	69	
278	12808 Bellaire Rd	4pc7356HgsRdDwkHf2BVhg	30.0	Must Visit!	Vienna West	5.0	5.0	3	
279	7015 Detroit Ave	ztG_sG9ugajX9crrzh0UyA	13.0	Its your say finally!	McDonald's	2.0	2.0	4	
280	12207 Lorain Ave	wnyMhlR5KCWkTCzQ1_gOUQ	269.0	Must Visit!	Mi Pueblo Taqueria	4.0	3.9	92	
281	11419 Bellflower Ct	98XJsz4hbDBxzowVUPC3lw	3.0	Its your say finally!	Silver Spartan Diner	2.0	1.5	10	
282	1994 Warrensville Center Rd	G6IR0pYAjqn6qOwdBBA4Wg	2.0	Its your say finally!	Domino's Pizza	1.0	1.4	7	
283	1917 W 25th St	hTEVm9uOnR6L7hLAigNNAw	24.0	Worth Visiting	Alaturka	4.0	4.1	24	
284	3730 Rocky River Dr	8yZ_nBgRC3CT1RFJC6KhXA	154.0	Must Visit!	Gene's Place To Dine	4.0	3.9	43	
285	7121 Saint Clair Ave	kyp6dmpiexaEhTBg7YpsSQ	13.0	Worth Visiting	Angela's Family Restaurant	4.0	3.9	7	
286	308 Euclid Ave	IzEHkReZTds6ipOaCq2G6g	916.0	Must Visit!	House of Blues - Music Venue	3.0	3.2	164	
287	3223 Lorain Ave	j4Ms51MtI4arORwaICNfCw	12.0	At your own risk	Ohio City Pizzeria	3.0	2.8	34	
288	2500 Denison Ave	mBBsJUT6x-_Wr9qOy3TBxQ	3.0	Its your say finally!	McDonald's	2.0	2.3	3	
289	11637 Clifton Blvd	SYOzI_Ooe-rXI3ZqCybwSQ	476.0	Jewel of a place!	The Diner On Clifton	4.0	4.0	142	
290	14421 Cedar Rd	ygpvIw60wGri7cr3CA9Ipw	29.0	Worth Visiting	Jerusalem Grill	4.0	4.1	26	
291	11454 Uptown Ave	en2o4Y4kdDHIDc5P82EXBw	101.0	Jewel of a place!	Simply Greek	5.0	4.7	105	
292	2000 Sycamore St	zhwqX2uk3XF_fwtwLj397A	1.0	At your own risk	Rock Bottom Restaurant & Brewery	3.0	3.3	9	
293	6501 Fleet Ave	OiS6K4IvKwxIcWlKVywG_w	118.0	Worth Visiting	The Red Chimney	4.0	3.8	39	
294	1852 Columbus Rd	nz8jiOENPW4csOeoAPApKw	72.0	Worth Visiting	Sainato's At Rivergate	4.0	3.9	9	
295	3519 Clark Ave	-Glmj_sxqCu0F3G62kFt1Q	24.0	Worth Visiting	Mazzone & Sons Bakery	4.0	4.2	17	
296	1261 W 58th St	DuMWyxL4DMcy5A8MXD_67w	432.0	Must Visit!	Parkview Nite Club	4.0	3.8	93	
297	5000 Euclid Ave	MNcHg6VFkqvPNS_0n2bWsg	37.0	Worth Visiting	The Hipp	4.0	3.7	7	
298	6425 Detroit Ave	aV-f_elvNoDG-yC6XJ5NKg	967.0	Must Visit!	Gypsy Beans and Baking Company	4.0	4.0	117	
299	2661 W 14th St	L7txS44bvz862djgTOim9w	591.0	Jewel of a place!	Bac Asian American Bistro & Bar	4.0	4.0	321	
300	Thwing Ctr, 11111 Euclid Ave	wzj2cMpiDJW0HB3iCvCOYA	1500.0	Must Visit!	The Jolly Scholar	4.0	3.8	87	
301	5526 Turney Rd	mPAt95zVO9deXkZSEFUDqg	1.0	Its your say finally!	Pizza Hut	2.0	2.0	3	
302	3273 Steelyard Dr	S_02VqM-sXAY9kDhvGxXtw	130.0	Worth Visiting	Five Guys	4.0	3.6	17	
303	1146 Old River Rd	bMSiHjs2fbKbBNPyuTwhHA	238.0	Must Visit!	Coastal Taco	3.0	2.7	274	
304	Cleveland Hopkins International Airport, 5300 Riverside Dr	ORcU4wTBkpihqcbuFuDAQA	167.0	Worth Visiting	Panini's	4.0	3.8	41	
305	1281 W 9th St	XM2qN3PiQbfSYo6zmHgSlQ	579.0	Must Visit!	Gillespie's Map Room	4.0	3.7	123	
306	17015 Lorain Rd	2r9U0--QqAK0JjL8vxB7mA	463.0	Worth Visiting	West Park Station	3.0	3.3	53	
307	2033 Ontario St	x1wYelMFfNppFvDAU661OQ	21.0	Worth Visiting	Alvie's Gateway Grill	4.0	4.2	9	
308	6102 Memphis Ave	F6FYo3IpVwvAJ04kcwEh_w	22.0	Worth Visiting	Brooklyn Barbeque	3.0	3.5	31	
309	13101 Shaker Sq	IvkBPG8qtSx56P0Z9xmijg	95.0	Worth Visiting	Grotto Wine Bar	4.0	3.9	19	
310	226 Euclid Ave	68kpmZBEb6x7wG1HBeLQ3g	260.0	Must Visit!	J. Gumbo's	4.0	4.2	96	
311	11002 Clifton Blvd	3OCgpAos1gmS4rbWTIjmsQ	433.0	Must Visit!	Liquid Planet	4.0	3.8	73	
312	17452 Lorain Ave	h0Wmyzb8q0bXbrqmWqVvfQ	144.0	Must Visit!	Jackie Chen Dragon Tower Restaurant	4.0	4.2	46	
313	3380 W 46th St	DhOvRBU3IXi_vClfRWz4KA	10.0	Worth Visiting	Diana Baker's Diner	4.0	3.7	7	
314	2032 Euclid Ave	xXZw2v10FbaqRiibXhAhlg	25.0	At your own risk	Fanucce's Italian Imports and Pizzeria	3.0	3.3	24	
315	3786 W 117th St	MJXN25eWW0U4E5aVUlAFCw	45.0	At your own risk	Ming Moon	3.0	3.0	9	
316	230 W Huron Rd	UT7I809RZYVsRzUUsCDTbQ	70.0	At your own risk	Mixed Greens	3.0	3.3	9	
317	200 Public Sq	QgrxN-PyUWaIab41-RrTwg	26.0	At your own risk	Au Bon Pain	3.0	2.8	6	
318	5549 Ridge Rd	Ksk5cLav4OtbUtpRGp5b4g	9.0	Worth Visiting	India's Cafe & Kitchen	4.0	3.8	16	
319	4203 Clark Ave	pN3UbQ1n4WVli-kfFDfWug	6.0	Its your say finally!	Fabios Pizza	2.0	2.2	21	
320	5300 Riverside Dr	J4h3IP8lYBW82gr2SGeV2A	6.0	Its your say finally!	Manchu Wok	2.0	1.8	4	
321	1836 Euclid Ave	pGu7YwnkIueer-3r3pkQdg	88.0	Worth Visiting	Rascal House	3.0	3.2	38	
322	3030 Superior Ave	GdTK0lZkITpw89uVuNqXqg	4.0	At your own risk	Just Like Mom's Restaurant	3.0	3.3	3	
323	704 E 185th St	LFh-Ay3bt9pTUNolfLn5gw	6.0	Worth Visiting	Buettner's Bakery	4.0	4.4	12	
324	1625 Golden Gate Plz	jRAUH6Ypc_2rX_nh3NMqcQ	167.0	Worth Visiting	Otani Japanese Restaurant	3.0	3.2	76	
325	1200 W 76th St	CikuTcu41X3UZsp8YjCjSQ	31.0	Worth Visiting	Vita Urbana	4.0	4.2	21	
326	5039 Westlawn Rd	ZRXL5kBWxRcGmgImzKq4QQ	25.0	At your own risk	Scorchers Casual Eatery & Draft House	3.0	3.0	12	
327	724 Prospect Ave	WYhmqVAWZEK6Xz8O1kMSHw	3.0	Its your say finally!	RJ Boland's	2.0	2.2	4	
328	55 Public Square, Ste 107	Ur4WVTUfMrTMW-yVsREEvA	7.0	Worth Visiting	Ticket To Tokyo	4.0	4.0	15	
329	1979 W 25th St, Ste A10	ESCeeLwhOSZ1ketQn1nq8A	95.0	Worth Visiting	Kim Se Cambodian Cuisine	4.0	4.3	13	
330	7425 York Rd	1zI3trw5QLNdypXBfudh0w	28.0	Worth Visiting	Marsella's Pizza	4.0	4.1	9	
331	1988 Noble Rd	x3nZVmEyXIYu3z5_dfbvTQ	4.0	Must Visit!	Columbo Room	5.0	4.8	4	
332	811 Huron Rd E	EjBZKPyq_G9WMO01N8DnDw	873.0	Must Visit!	Winking Lizard Tavern	3.0	3.3	181	
333	1111 Lakeside Ave E	J5kUNCioqtgNCursxMMJaw	79.0	At your own risk	Stadium 3 Bar & Grille	3.0	2.9	33	
334	2365 Professor Ave	02E9r4BQzVrA76Bf7G-KMw	324.0	Jewel of a place!	Edison's Pizza Kitchen	4.0	4.0	154	
335	1111 Superior Ave E, Ste 2	GzHhdq5fZbFLhbWRYMCDcw	6.0	Worth Visiting	David's Deli	4.0	3.7	7	
336	2035 E 4th St	WHlbUb5SNdXDKYfkNDo89A	424.0	Must Visit!	Pickwick & Frolic Restaurant & Club	3.0	3.4	128	
337	230 W Huron Rd, Ste 7247	kh4fLYwyUl8yb7IHu-HCyw	11.0	At your own risk	Charley's Grilled Subs	3.0	2.8	4	
338	3050 W 117th St	V4YBWutY9j3ONvrTH-EhMg	666.0	At your own risk	Giant Eagle Supermarket	3.0	2.9	28	
339	1400 E 30th St	TPJO55zWyo2CeeXQvOre8A	138.0	Must Visit!	Tastebuds	4.0	4.5	53	
340	4930 Turney Rd	kt8gBE0TcSC_Srrxg98Mow	2.0	Worth Visiting	Great Wall Chinese Restaurant	4.0	3.8	4	
341	Colonial Market Place, 530 Euclid Ave	Ye7m47NmlX-r6dyCU1ix0A	88.0	Must Visit!	Pure & Supreme Cuisine	4.0	4.5	46	
342	899 E 200th St	8qTuIU_goGWDoFdYFGLJUA	41.0	Worth Visiting	Subway	4.0	4.0	3	
343	681 E 200th St	2cMWPqJLjQ-ZvH2HvJvMsA	16.0	Worth Visiting	Adam's Place	4.0	4.2	11	
344	Cleveland Hopkins In	urRSZQWfUpSnsofAaIXYHw	2.0	Its your say finally!	Max & Erma's Restaurants	1.0	1.3	3	
345	100 Public Sq	COUJUfrodU-MH4tenlzoXA	29.0	Worth Visiting	Rosie & Rocco's	4.0	3.8	16	
346	1265 W 9th St	gw0ZS5b5RP3Lzr1BoCbALg	87.0	Must Visit!	Charkha Exotic Indian Cuisine	4.0	4.0	44	
347	1735 E 36th St	GDpd9KZdUgnjcoCWTTphqw	424.0	Jewel of a place!	Szechuan Gourmet	4.0	4.3	165	
348	17007 Lorain Ave	4P3zCFzQ1tT_7PLD73gMvQ	213.0	Worth Visiting	Back Stage Bar	4.0	3.8	26	
349	1481 Warrensville Center Rd, Ste 1	l3lM7HNbU5Wlrb6K4Vw69A	1.0	Worth Visiting	Cleveland Bartending School	5.0	4.7	3	
350	6000 Memphis Ave	eDoXXly5LT2GkMUTZddKtw	1.0	Its your say finally!	Burger King	2.0	2.0	3	
351	2585 E 55th St	yZARNBEe1gTEV8UJuwIR2Q	7.0	Its your say finally!	Rally's Hamburgers	2.0	2.0	3	
352	2184 Warrensville Center Rd	CKRfBUqQGaVCYTKN5kDrzw	41.0	Worth Visiting	Boston Market	4.0	3.8	4	
353	5092 Tiedeman Rd	bfF90MspMbqLWdcEU9JLcg	78.0	Worth Visiting	Wild Ginger China Bistro	3.0	3.0	44	
354	101 St Clair Ave NE	atjtuvR00Gkhi11BgrVs1Q	5.0	Its your say finally!	Sportsman Restaurant	2.0	2.3	3	
355	3456 W 117th St	UoRSHohdGuzfrpydZ9j0Lg	309.0	Must Visit!	Luchita's Mexican Restaurant	4.0	3.6	95	
356	2417 Professor Ave	MX3TL4-ij22rLFBD1XjKGw	393.0	Jewel of a place!	Fahrenheit	4.0	3.8	242	
357	2123 E 2nd St	0DwMrcy7_X_C_mP8_QcXug	8.0	Its your say finally!	High Street Grill	3.0	2.7	3	
358	2218 Murray Hill Rd	112pGcb0ZB666d_IwFt4jA	105.0	Must Visit!	Chutney Rolls	4.0	4.0	66	
359	11324 Euclid Ave	dmu1wM0CRgeoTIUXFihU7Q	126.0	At your own risk	QDOBA Mexican Eats	3.0	3.0	26	
360	12718 Larchmere Blvd	DJr-kNyyTJpobrvjwaQZ4g	10.0	At your own risk	Valo	3.0	3.0	6	
361	1265 W 9th St	MzEzQLdcHcASsYVZ57UY8A	19.0	At your own risk	Waterstreet Grill	3.0	2.6	17	
362	1001 Huron Rd E	2L0I4w2_32aVJq-IzhZSig	236.0	Must Visit!	Restore Cold Pressed	5.0	4.6	82	
363	1375 E 9th St	hdOkgm5wyn1hOWLlqq5hyA	3.0	At your own risk	Oasis Urban Cafe	4.0	3.5	4	
364	100 Public Sq	1YGQsn4AHPbcVsRmHqbeqQ	94.0	At your own risk	B Spot - Horseshoe Casino	2.0	2.4	34	
365	101 W Superior Ave	KHdYW6Wl4wWXW60by60P0A	469.0	Jewel of a place!	Rebol	4.0	4.3	110	
366	15725 Lorain Ave	zGWTylnfPBV3nuNhRyFpOw	38.0	Worth Visiting	Seven Seas Seafood	4.0	3.9	16	
367	20705 Center Ridge Rd	G70k8VCOe9CJUIapSYZRcQ	26.0	Worth Visiting	Applebee's Neighborhood Grill & Bar	4.0	3.8	5	
368	13101 Shaker Sq	LtDYRcMJbJPhXPEklT29Fw	146.0	Jewel of a place!	EDWINS Leadership and Restaurant Institute	5.0	4.7	128	
369	5587 Ridge Rd	Sc2_TGgW-qBj1nkkxBkeQQ	17.0	Worth Visiting	Fergie's	4.0	4.5	6	
370	2187 Murray Hill Rd	9bxrdL-pQg6SVMFmDcg1ow	438.0	Must Visit!	Rising Star Coffee Roasters	4.0	4.5	82	
371	100 Lakeside Ave E	82aapoEF7sBcxrrP9AWiEw	56.0	Worth Visiting	The Burnham Restaurant	4.0	3.5	50	
372	2017 E 9th St	8pftLQ9OT2VKbco_lf7vbQ	21.0	Must Visit!	Ledger Bar	5.0	4.8	6	
373	2785 Euclid Heights Blvd	bgNmUYcraelf27TviWEMGA	604.0	Jewel of a place!	Inn On Coventry	4.0	3.9	233	
374	3516 Warrensville Center Rd	wGKM32sRVy60i0LHVnHPDw	14.0	At your own risk	Wendy's	3.0	2.9	9	
375	2399 W 11th St	intKyiipUlHDWi_chv0f3A	23.0	Must Visit!	Merchant Street	5.0	4.8	32	
376	230 W Huron Rd, Ste 7248	6OhgauonbNtqLRpXXn_nJA	27.0	At your own risk	Master Wok	4.0	3.5	6	
377	1301 E 9th St	Y1x-DOdfvlIGxVzDXmd-eg	365.0	Must Visit!	Winking Lizard Tavern	3.0	3.2	117	
378	7400 Detroit Ave	2tfMXjOotr1r168mVttUmQ	151.0	Must Visit!	Local West	4.0	4.2	95	
379	11365 Euclid Ave	p9wsRYjSo4yIb14ijaNEnA	2.0	Worth Visiting	Falafel Cafe	3.0	3.0	92	
380	3257 Steelyard Dr	5R03yx9yR4VkK1L-Waj4Pw	1.0	At your own risk	Penn Station East Coast Subs	3.0	3.4	8	
381	4475 Rocky River Dr	t181Pejkkaos8n7HW8YYCg	20.0	Worth Visiting	Bella Pizza	4.0	4.0	7	
382	15710 Waterloo Rd	e8a36rGWT7tnst1yChUukw	3.0	At your own risk	Blitz BBQ	3.0	3.3	3	
383	1468 W 9th St	0S_TTdArnW8BrO-Xsp7EwQ	17.0	Must Visit!	Mel's Cafe	5.0	4.7	23	
384	18840 Lorain Rd	1-3QXTEwl1pfZn9kXFgN3Q	19.0	Worth Visiting	Emerald Necklace Inn & Tearoom	4.0	4.4	12	
385	5513 Pearl Rd	P0uECGAlrELjqeOtDHcB-Q	7.0	At your own risk	Blue Moose Eatery	3.0	2.8	9	
386	2144 Broadview Rd	K-tl3k56Px2G6KRsKNyUUA	4.0	Its your say finally!	Subway	1.0	1.2	4	
387	2756 Van Aken Blvd	3Esl4FVI9Rzl_KSmIiMgaw	3.0	Worth Visiting	Jackie Chen Wok	4.0	3.7	10	
388	1929 W 25th St	3r_y_cjRlobJNApmXDJoRg	199.0	Must Visit!	Phnom Penh	4.0	3.7	109	
389	3784 W 117th St	YTNgCm8-TlyLvkBXCGxeMg	50.0	At your own risk	Subway	3.0	3.0	3	
390	5300 Riverside Dr	HCL73X2aBGmJ5C0Ynqihkw	11.0	Its your say finally!	Green Leaf's	2.0	1.6	8	
391	17446 Lorain Ave	TnO9SmZoRNfJlbNV1wBKYw	101.0	Worth Visiting	Red Lantern Kitchen & Bar	3.0	3.3	83	
392	4631 Turney Rd	xm1SHIAGpWuLh-8F89jBgg	3.0	Must Visit!	Sophie's Choice Pierogi	5.0	4.7	9	
393	1979 W 25th St	ivtLwRZfMq9Hagk8nW-xzQ	178.0	Must Visit!	Maha's Falafil	5.0	4.6	42	
394	4377 State Rd	nL4cq4GEz4uiM48nz5E7ug	55.0	Worth Visiting	Gus's Family Restaurant	4.0	3.9	29	
395	2121 Euclid Ave, SC 212A	-prmBNT8sD8V2o2kXV6Ywg	1.0	Its your say finally!	Chili's	2.0	2.4	5	
396	9912 Lorain Ave	yOx4Epa3NDDxS-ExC5Ya3g	8.0	At your own risk	Kristina's Restaurant	3.0	3.0	5	
397	12600 Larchmere Blvd	iNeiyfZ7MHK8dI0QZ4Ucsg	163.0	Must Visit!	Big Al's Diner	3.0	3.2	98	
398	5156 Wilson Mills Rd	PPCuGwbGA7HlhsGh8dbBsA	158.0	Must Visit!	Taj India Palace	4.0	3.7	82	
399	7671 W Ridgewood Dr	XhMfL-6lt-prYyC9Lp02gg	10.0	Worth Visiting	Best Wok Chinese	4.0	3.9	14	
400	3108 Mayfield Rd	VEeqUTODkjwera_JKy97rg	4.0	At your own risk	The Wicked Taco Shoppe	3.0	3.2	12	
401	11454 Uptown Ave	ORM-8CMtxLsbhyJIvxfjYg	41.0	Worth Visiting	Wrapz Pita Bar	4.0	3.5	22	
402	17109 Lorain Ave	ots7CgnVUu7f9qNiZCXw7w	16.0	Its your say finally!	Guys Pizza	1.0	1.2	6	
403	3359 W 117th St	ZjptoOcCgtQTSiNwQR4vEQ	21.0	Worth Visiting	Aloosh Hookah Bar	4.0	4.0	3	
404	11312 Euclid Ave	Hq-6gDr_sYL4_KlG5aGf6Q	2.0	At your own risk	Uptowne Grille	3.0	2.8	6	
405	11472 Euclid Ave	claunOWWYNvLD9Ybt5dA8A	1.0	At your own risk	Tea House Noodles	3.0	3.4	5	
406	1303 W 6th St	lTFauUhnfk4pPhOMGDiEgg	24.0	At your own risk	Barroco express	3.0	3.2	25	
407	1144 Prospect Ave E	6MlO4sGzERjA8kq5rySspQ	59.0	Must Visit!	Chicago's Home of Chicken & Waffles	3.0	3.3	106	
408	12000 Buckeye Rd	z1OhXPMw8CVdfq3BBGkQNQ	2.0	Its your say finally!	Wendy's	1.0	1.0	3	
409	12725 Kinsman Rd	vkQEjuWcGKhibYjQlPaaKg	4.0	At your own risk	Mt Pleasant Bar-B-Q	3.0	3.3	6	
